id,brewery_id,name,cat_id,style_id,style_id_II,abv,descript
126,584,Geist Bock,7,90,Traditional German-Style Bock,6.099999905,"This is one of our rare lagers brewed in the style of the German Heiliges Geist Bock, or Holy Ghost Bock. The name refers to the lighter nature of the beer as opposed to the darker and heavier Doppel Bock and Mai Bock also brewed during the spring in Germany. There is a rich malt flavor, a firm German style lager head, and a clean lagered finish to this beer.  Available on draft or in 12 oz. bottles."
128,397,Dark Ale,1,10,English-Style Pale Mild Ale,4.5,"A dark brew full of promise. Coopers Dark Ale is a journey in taste, starting fresh and creamy, and finishing with a lingering coffee flavour. 

Conditioned and naturally brewed using the top fermentation method, Coopers 'Dark' is made using roasted and chocolate malts, giving it a rich dark colour and unique flavour. 

Coopers Dark Ale has no additives and no preservatives."
129,441,Cinder Cone Red,3,33,American-Style Amber/Red Ale,5.400000095,"Cinder Cone Red's diverse selection of hops and barley captivates thirsty palates with its toffee-like flavor, intense citrus aroma and defined bitterness.

Located on the northern slope of Mt. Bachelor, the Cinder Cone was also known as ""Red Hill"" due to its reddish color that is revealed as the seasons change, the weather warms and the snow melts.  It's spring. Time to get outside."
138,935,Odell Red Ale,3,33,American-Style Amber/Red Ale,6.5,"The Rocky Mountain Goat is no ordinary goat. Just like Odell Red is no ordinary red. 

We took the American-style red to a whole new level by adding a variety of aggressive American hops-giving this ale a distinctive fresh hop aroma and flavor. 

We think you'll agree this red has some serious kick."
157,723,Biere de Mars,1,13,Old Ale,7,A sustaining beer that is brewed to comfort in the gusty ides of March and welcome in a wealth of warmer weather.
177,723,Luciernaga,5,64,Belgian-Style Pale Ale,6.5,"An artisan pale ale brewed in the Grand Cru tradition. Enjoy its golden effervescence and gentle hop aroma. Coriander and Grains of Paradise round out the spicy palate, melting o so softly into a silken finish of hoppiness and bliss! Make any season a celebration!"
179,859,Beer Geek Breakfast,3,43,American-Style Imperial Stout,7.5,"Breakfast is the most important meal of the day, many say, and if you are a beer geek there is no better way to start the day than with a powerful, complex morning stout. The unique mix of oats and coffee gives this beer large body and power, while the coffee, at the same time, creates a nice balance."
188,481,Certified Organic Amber Ale,3,33,American-Style Amber/Red Ale,4.800000191,"Eel River Brewing Company, brewers of California's first Certified Organic Ale, proudly brings you our Organic Amber Ale. Unique in flavor and purity, this medium bodied beer has a hoppy bouquet and a distinctive rich taste with a caramel-like sweetness that is balanced with a liberal dose of certified organic Pacific Gems and Hallertau hops, imported from New Zealand. Pure taste, pure ingredients, pure good."
193,923,Nogne o Brown Ale,3,38,American-Style Brown Ale,4.5,"A dark brown English ale, in which classic English malts meet the spicy hoppiness of the new world.  Recommended serving temperature 8 C/45 F. Goes very well with 'pub grub.'"
208,935,90 Shilling,1,7,Scottish-Style Light Ale,5.300000191,"We introduced 90 Shilling, our flagship beer, at our opening party in 1989. For a while, we'd been wondering - what would happen if we lightened up the traditional Scottish ale? The result is an irresistibly smooth and delicious medium-bodied amber ale. The name 90 Shilling comes from the Scottish method of taxing beer. Only the highest quality beers were taxed 90 Shillings. A shilling was a British coin used from 1549 to 1982. We think you'll find this original ale brilliantly refreshing, and worth every shilling."
209,905,Sunshine Wheat,11,116,Light American Wheat Ale or Lager,4.800000191,"SUNSHINE WHEAT is a great beer for trouncing thirst.  Yet, it has a depth of character that inspires a quiet moment's reflection. Sunshine Wheat swirls in the mouth with ripples of coriander and orange peel tartness, settling nicely into a tranquil sea of apple and honey tones.  A filtered wheat beer, Sunshine offers a crisp, refreshing alternative to heavier-bodied heffe-weizens."
214,161,Lunar Ale,3,38,American-Style Brown Ale,5.099999905,"Our first new year-round brand launch since 1996, Lunar Ale is in a category all its own. Brewed using a unique aromatic yeast, this refreshing variety is best described as a cloudy brown ale with a complex, malty aroma and flavor, and a crisp, dry finish."
215,604,Denver Pale Ale / DPA,3,26,American-Style Pale Ale,5.400000095,"Historically Great Divide's flagship beer, DPA's record speaks for itself. By continually garnering national and international recognition, DPA has risen to become one of the most award-winning English-style pale ales in the world.

Sporting a brilliant copper hue and an assertive floral hop aroma, DPA is known for its smooth, malty middle, which is expertly complemented with hearty and complex hop flavor. DPA's extraordinary hop finish is marked by crisp yet moderate hop bitterness. Its well-balanced profile makes DPA the perfect beer to accompany a hearty mountain picnic or a night on the town. For those who seek beers characterized by excitement, flavor and distinction, Denver Pale Ale is the natural choice."
221,296,Pater 6,5,60,Belgian-Style Dubbel,6.699999809,"This name became a reference. This beer is mostly pointed out with its product name: 'a Paterke'. 

This 'Paterke' is a chestnut coloured dark beer with a high fermentation (6.7 alcohol content) and a full taste."
223,905,Skinny Dip,3,37,Golden or Blonde Ale,4.199999809,"Ever tried a Skinny Dip? You wouldn't be alone. Featured by both Men's Journal and the Today Show as a favorite summer brew, this full-bodied, highly drinkable beer makes a splash every summer in our Seasonal line-up. Cascade hops frolic with a hint of lime leaf, giving the beer complexity that's surprisingly refreshing."
247,604,Hot Shot ESB,1,5,Extra Special Bitter,5,"HotShot ESB is an easy-drinking and remarkably smooth Extra Special Bitter, brewed in the classic-English style. More assertively hopped than ordinary bitters, light copper-colored HotShot showcases clean hop flavors, balanced by its slightly fruity nose and light-caramel malt character.

While HotShot is one of Great Divide's easiest-drinking and lower alcohol beers, its complex flavor profile makes it the perfect session beer for craft beer lovers."
249,923,Nogne o Imperial Stout,3,43,American-Style Imperial Stout,9,"We think the russian tsar would have liked his stout this way. A dark, rich ale in which a generous sweetness with roasted malt bitterness.  Serving temp.10 C/50 F. Great with vanilla ice cream or dark chocolate."
250,923,Nogne o Porter,2,25,Porter,7,"In this quite dark ale, dark malts provide flavors of coffee and dried fruit. Recommended serving temperature 10 C/50 F.  Try with dark chocolate, cheese, or red meat dishes."
251,923,Nogne o Pale Ale,3,26,American-Style Pale Ale,6,A refreshing light and hoppy ale. Probably our best allrounder.  Recommended serving temperature 8 C/45 F.  Ideal with barbequed or smoked meat dishes.
288,385,Yule Tide,5,61,Belgian-Style Tripel,10,"The latest addition to Baltimore's own Clipper City Brewing Company - Mutiny Fleet is their holiday brew Yule Tide, a Belgian style triple ale, which like the rest of the Mutiny Fleet is distributed in 22 ounce bombers."
290,308,Warka Strong,8,95,American-Style Lager,7,European Strong Lager
335,935,Levity Amber Ale,3,33,American-Style Amber/Red Ale,5.099999905,"Levity is our lighter take on the amber ale. Munich and honey malts give it a full-bodied flavor and a happy-go-lucky personality. Then we let the finishing hops shine, for a beer that's crisp instead of bitter, as many ambers are. Levity was named by our brewers partly for its light color - and partly for the way it just refuses to take itself too seriously. Hey, we could all use a little levity once in a while."
336,935,Easy Street Wheat,11,116,Light American Wheat Ale or Lager,4.599999905,"Light and refreshing, Easy Street Wheat is an unfiltered American-style wheat beer. Leaving in the yeast gives the beer a nice, smooth finish and a slightly citrusy flavor. Easy Street Wheat gets its name by brewers ""taking it easy"" and not filtering the beer. However, for ultimate enjoyment, we encourage you to work just a little harder in pouring it: just pour 2/3 of the beer into a glass, swirl what's left to stir up the yeast, then pour the rest and enjoy."
337,161,Boulevard Pale Ale,3,26,American-Style Pale Ale,5.400000095,"Boulevard Pale Ale is a smooth, fruity, well-balanced beer with year-round appeal. A variety of caramel malts impart a rich flavor and amber color, while liberal use of whole hops adds zest and aroma. Pale Ale is the first beer we brewed, and continues to be a perennial favorite."
338,161,Bully! Porter,2,25,Porter,5.400000095,"The intense flavors of dark-roasted malt in Boulevard's rendition of the classic English porter are perfectly balanced by a generous and complex hop character. Bully! Porter's robust nature makes it the ideal companion to a variety of foods, from seafood to chocolate."
345,161,Boulevard Dry Stout,3,42,American-Style Stout,4.900000095,"Velvety black and perfectly opaque, our bottled Dry Stout is the somewhat livelier companion to our popular draught version of this enduring style. This surprisingly smooth, drinkable beer is a delightful harmony of smoky roasted flavors and tangy, coffee-like notes."
350,272,Arabier,5,65,Belgian-Style Pale Strong Ale,9,"An arabier is a pure malt beer 8 vol/alc brewed with flower Nugget-hops from Poperinge. It has the special dry-hopping taste and aroma, so appreciated by beer lovers all over the world. It is one of the two main beers from De Dolle Brouwers throughout the year. Aging time is limited due to the fact that hop bitterness is declining with the time. Store arabier cool and dark and serve cool at 10 C. Cheers!"
360,7,Rochefort 10,5,62,Belgian-Style Quadrupel,11.30000019,"Reddish-brown colour, with a very compact head and an aroma of figs, feels like honey in the mouth. The alcohol profile is a major component in the flavour of this rich ale. It is very similar to 6 and 8, but has much more of everything. Some may find the high alcohol content to be disagreeable."
361,167,McChouffe,3,29,Dark American-Belgo-Style Ale,8.5,"Description : Dark Ale, strong, spicy, lightly hoppy, with evoluting taste. Natural Beer, bottle refermented, unfiltered, not pasteurised and without any additives

Alcohol : 8,5% alc./vol.

Original gravity : 16  Plato

Storage : Store the bottles vertically in a cold place, sheltered from light. The yeast deposit can either be drunk or left according to taste

Serve at : 8 to 12 C (botlle)"
371,296,Watou Tripel,5,61,Belgian-Style Tripel,7.5,The flavour of this beer is pleasantly soft and is characterized by a delicate bitterness where the balance between malt and hop is based upon a fruity orange taste with a straight fresh after taste (7.5% alcohol content)
377,1115,Doppelbock Dunkel,7,92,German-Style Doppelbock,8.5,"DoppelBock Dunkel has a pleasant full and creamy body, with a cofeeish aroma. Nicely warming with toffeelike malty sweetness, balanced by a hoppy-bitterness in the finish."
395,723,Bam Biere,5,74,French & Belgian-Style Saison,4.5,"An artisan farmhouse ale that is golden, naturally cloudy, bottle conditioned and dry hopped for a perfectly refreshing balance of spicy malts, hops and yeast."
397,609,Barleywine,3,35,American-Style Barley Wine Ale,10,"Our American-style Barleywine undergoes a three hour boil to intensify the caramel malts and the enormous Pacific Northwest hop charge. The result is a rich, estery brew with toffee notes and citrus hop flavors layered throughout. Enjoy this brew fresh today or lay it down for aging to see how the flavors of each vintage evolve."
400,1023,Aventinus Weizenstarkbier / Doppel Weizen Bock,4,55,South German-Style Weizenbock,8.199999809,"Dark-ruby, almost black-colored and streaked with fine top-fermenting yeast, this beer has a compact and persistent head. This is a very intense wheat doppelbock with a complex spicy chocolate-like arome with a hint of banana and raisins. On the palate, you experience a soft touch and on the tongue it is very rich and complex, though fresh with a hint of caramel. It finishes in a rich soft and lightly bitter impression."
401,905,New Belgium Trippel Belgian Style Ale,5,61,Belgian-Style Tripel,8.5,"Our Trippel Belgian Style Ale (pronounced triple) opens with a bold blast of hops that slowly gives way to the fruity esters implied by our Belgian yeast strain. The Three Graces hand-painted on the label are Zeus's daughters Aglaia (splendor), Euphrosyne (mirth) and Thalia (good cheer). In the Belgian tradition of brewing singles, doubles and triples, Trippel is the strongest with the longest fermentation. Remarkably smooth and complex, our bottle-conditioned Trippel is spiced with a trace of coriander."
403,905,Abbey Belgian Style Ale,5,60,Belgian-Style Dubbel,7,"Winner of four World Beer Cup medals and eight medals at the Great American Beer Fest, Abbey Belgian Ale is the Mark Spitz of New Belgium's lineup - but it didn't start out that way. When Jeff and Kim first sampled the beer at the Lyons Folks Fest, reviews were mixed at best. One of founder Jeff's first two Belgian style homebrews (along with Fat Tire), Abbey is a Belgian dubbel (or double) brewed with six different malts and an authentic Belgian yeast strain. Abbey is bottle-conditioned, weighs in at 7.0% alcohol by volume, and pairs well with chocolate (or boldly served by itself) for dessert."
406,1054,Iron Fist Pale Ale,3,26,American-Style Pale Ale,0,An amber pale ale dry hopped with a blend of American hops.
408,723,Oro de Calabaza,5,65,Belgian-Style Pale Strong Ale,8,Brewed in the Franco-Belgian tradition of strong golden ales.  Spicy and peppery with a gentle hop bouquet and the beguiling influence of wild yeast.
409,723,La Roja,3,33,American-Style Amber/Red Ale,7.199999809,"An artisan amber ale brewed in the Flanders tradition.  Deep amber with earthy caramel, spice, and sour fruit notes developed through natural barrel aging.  Unfiltered, unpasteurized and blended from barrels ranging in age from two to ten months."
411,441,Hop Trip Fresh Hop Pale Ale,3,26,American-Style Pale Ale,5.5,"This Fresh Hop Pale Ale is all about celebrating the hop harvest in the fall.  Fresh picked hops have to be added to the brew immediately and in abundance.  Roughly 270 pounds of Crystal hops from Doug Weathers' farm outside Salem, Oregon will be added to the 50 barrel batch in addition to some dry kilned whole flower hops.  That adds up to approximately 5.5 pounds of hops per barrel brewed.  Another deliciously interesting beer in our Bond Street Series."
414,604,Hibernation Ale,1,13,Old Ale,8.100000381,"Great Divide's award-winning Hibernation Ale is Colorado's original strong ale -  it has been our winter seasonal each year since 1995. Since that time, Hibernation has become the most sought-after winter beer in Colorado. Hibernation's massive flavors are so intense that it requires over three months of aging each year. Each summer, while our brewers are still spending their weekends in flip-flops and shorts, they prepare for July's Hibernation brewing schedule.

We cellar Hibernation until late October, when it reaches the peak of perfection. This lengthy aging process gives Hibernation its revered malty richness, complex hop profile and hearty warming character, which is perfect right out of the bottle or cellared for longer periods of time. Hibernation is a lively treat that really beats the winter chill. This scrumptious, collectible, and imminently cellarable ale is only available for six weeks each year, from November 1 to December 15.  Hibernation Ale is the perfect gift or accompaniment to your winter festivities."
416,905,2  Below,1,5,Extra Special Bitter,6.599999905,"Pull on your wool socks and crack open a 2  Below Ale. This tasty winter warmer started life as a small batch beer brewed for the Al Johnson Uphill Downhill -  a telemark ski race in Crested Butte, Colorado. The Uphill Downhill celebrates the exploits of Al Johnson, letter carrier extraordinaire, who delivered mail by ski in the late 1800's. Dry hopping during fermentation creates a floral nose with a hint of pepper and spicy, subtle undertones. 2  Below provides a bright, hoppy palate and a cheery warm afterglow."
419,604,Hercules Double IPA,3,31,American-Style India Pale Ale,9.100000381,"Hoppier, maltier and with more alcohol than a standard IPA, Hercules Double IPA definitely is not for the faint of heart. Hercules Double IPA is, however, an elixir fit for the gods. A brash but creamy wonder, Hercules pours a deep orange-coppery color, forming substantial lace in the glass. Hercules Double IPA delivers a huge amount of piney, floral, and citrusy hop aroma and flavor from start to finish. A hefty backbone of nutty, toffee-like malt character balances Hercules' aggressive, punchy hop profile."
420,604,Fresh Hop Pale Ale,3,26,American-Style Pale Ale,6.099999905,"The September hop harvest is a once-a-year opportunity to brew with fresh hops, also called 'wet hops.' Given the perishable nature of just-harvested hop cones, they are shipped overnight to Great Divide shortly after harvest. The morning of the scheduled hop delivery in Denver, Great Divide's brewers begin brewing Fresh Hop and are ready to hop the beer just as the fresh hops are delivered.

Using fresh hops is a big endeavor, requiring four to five times the volume of hops compared to the usual process of using pelletized hops. This complex process brings impressive results: Fresh Hop is an American-Style Pale Ale with moderate hop bitterness marked by a unique and intensely grassy hop flavor and aroma. Fresh Hop is a superbly refreshing, medium bodied, light-copper colored pale ale."
423,441,Inversion IPA,3,31,American-Style India Pale Ale,6.800000191,"After several months of experimentation, energy and obsession, Deschutes Brewery's brewers have triumphed once again.  Inversion I.P.A.'s trio of American hops delivers an over-the-top nose with hints of orange and grapefruit.  Inversion is then dry-hopped for seven days resulting in an added hoppy kick.  To balance the hop character, Deschutes' brewers used crystal and caraston malts that weave throughout the beer providing soft, complex caramel flavors. 

Just like clear days up on the mountain, Inversion I.P.A. will deliver a path to higher ground.  Inversion I.P.A. is a phenomenal NW-style I.P.A., beckoning all beer drinkers and enticing I.P.A. lovers to invert their world and find clarity above the routine of the everyday."
431,905,Blue Paddle Pilsener,7,77,German-Style Pilsener,4.800000191,"Climb on in and grab a paddle. Our first foray into lagered beers, Blue Paddle Pilsener-Lager, is a Czech style pilsener with a refreshing crispness from noble hops and a rich, malty finish. 'Blue Paddle' refers to the implement our warehouse manager's Grandma once used to lovingly paddle his a** when she caught him stealing sips of her beer. With more body than a traditional Belgian pils, Blue Paddle is reflective of Europe's finest pilseners."
440,296,Abt 12,5,62,Belgian-Style Quadrupel,10,"The absolute top quality in the hierarchy of the St. Bernardus beers. It is also the beer with the highest alcohol content (10.50 %).
A dark ivory coloured beer with a high fermentation. 

The show piece of the brewery. Thanks to its soft and unconditionally genuine aroma, the beer can be smoothly tasted.  The Abt has a very fruity flavour."
475,296,Prior 8,5,60,Belgian-Style Dubbel,8,"This noble delicious beer with a high fermentation has a ruby purple colour with a full malty and fruity taste (8% alcohol content). 

This beer has a beautiful round froth due to the second fermentation with a taste that creates a perfect balance between sweet and sour."
480,757,Monchshof Premium Schwarzbier,7,86,German-Style Schwarzbier,4.900000095,"Schwarzbier means ""black beer"" in German. It is a medium-bodied, malt-accented dark brew, very opaque and deep-sepia in color, with a chewy texture and a firm, creamy, long-lasting head. In spite of its dark color, it comes across as a soft and elegant brew that is rich, mild, and surprisingly balanced. It never tastes harsh, toasty or acrid. The beer is often referred to as a Schwarzpils, a ""black Pils,"" but, unlike a blond Pils, which can be assertively bitter, the hop bitterness in Schwarzbier is always gentle and subdued.

In a glass, Schwarzbier looks much like a British dark ale, but looks can be deceiving. Schwarzbier, unlike a British ale, has a clean lager taste that leaves next to no perception of fruitiness on the palate. Instead, Schwarzbier produces very mild, almost bittersweet, notes of chocolate, coffee, and vanilla. Like most traditional German lagers, Schwarzbier has a malty middle, but the sweetness is never cloying or overpowering. The beer is moderately to well attenuated and the finish tends to be dry. Its alcohol level by volume is in the range of 4.5 to 5%, rarely higher. To accentuate the Schwarzbier's dark elegance and appealing head, always serve it in a tall, fluted or tulip-shaped glass."
481,296,St. Bernardus Tripel,5,61,Belgian-Style Tripel,8,"This beer, with high fermentation, has a pale amber colour and a flowery, fruity taste with a harmonious balance between sweet and sour (8% alcohol content). 
This beer has a thick and vivid froth and strikes by its balanced taste with a delicate bitterness."
485,7,Rochefort 6,3,29,Dark American-Belgo-Style Ale,7.5,"eddish colour, almost like autumn leaves, very consistent texture with a slightly spicy aroma and an intense taste of caramel, fruit, and hints of raisins. It is only brewed about once per year, representing approximately 1% of total beer production, thus is quite difficult to obtain."
487,262,Westmalle Trappist Tripel,5,61,Belgian-Style Tripel,9.5,"Was first brewed in 1934 and the recipe has not changed since 1956. It is made with pale candy sugar and has a very pale color produced from a mash of light pilsener malts. Styrian Goldings hops are used along with some German varieties and the classic Saaz pilsener hop. After a long secondary fermentation, the Tripel Westmalle is bottled with a dose of sugar and yeast. This beer holds up well in the bottle over time and seems to soften with age."
717,842,Terminator Stout,3,42,American-Style Stout,6.449999809,"Black as the darkest night, rich as the most decadent dessert, Terminator is for the true stout lover. This is a full bodied and flavor packed ale which draws it's robust complexity from kiln-baked specialty grains. Look for a wide array of toasted, chocolate, nutty and coffee-like flavors in every pint! The devoted swear by it, and it remains one of our top selling ales year after year."
721,445,Industrial IPA,3,32,Imperial or Double India Pale Ale,7.400000095,"This one's a butt-kicker! Essentially, the same recipe as the IPA, but with approximately 25% more grain and twice the hops!"
722,445,IPA,3,31,American-Style India Pale Ale,6.199999809,"OUR FLAGSHIP BEER, the one for which we're known throughout the Puget Sound. Columbus hops impart intense bitterness with flavors of grapefruit and a hint of cedar."
764,526,Organic India Pale Ale,3,31,American-Style India Pale Ale,6.699999809,"Fish Tale Organic India Pale Ale is a medium-bodied beer with a rich golden color. The organic pale and crystal malts lay down a firm malt body. This provides the backbone for an assertive hop profile featuring organic Pacific Gem. The moment the Mighty Fish Brewers sampled this pungent and resinous New Zealand hop, they knew it would be perfect for their Organic I.P.A. The result: A Cascadian treasure."
766,526,Organic Amber Ale,3,33,American-Style Amber/Red Ale,5,"Medium-bodied with an appealing amber hue, this is the First Ale of the Republic. Its organic pale, Munich, and crystal malts create a gentle sweet character that is difficult to resist.  From organic Hallertauer hops come a zesty flavor and aroma that beautifully balance Organic Amber's malt profile. The result: Truly delicious ale that salutes organic farmers and all the goodness they bring to our tables."
813,540,Horn Dog,3,35,American-Style Barley Wine Ale,10.19999981,"By far the biggest dog in the yard... Horn Dog Barley Wine is a dark and malty English-style Barely Wine that is aged for a minimum of three months before being packaged. Like a fine wine, this beer will only get better with age when stored at optimum conditions."
819,1115,Urbock 23 ,7,92,German-Style Doppelbock,9.600000381,Schloss Eggenberg Urbock 23  is one of the strongest beers in the world. We keep the Urbock 23  in our Schloss cellars for 9 months until it is dark gold and strongly matured. Urbock 23  has received the highest acknowledgments and honours at international exhibitions and world evaluations. It is brewed exclusively from natural raw ingredients after the purity requirement of 1516. Schloss Eggenberg Urbock is filled in a 0.33 litre designer bottle embossed with Schloss Eggenberg and in barrels for the export (20 and 30 litre).
821,1204,Stone IPA,3,31,American-Style India Pale Ale,6.900000095,"An ""India Pale Ale"" by definition is highly hopped and high in alcohol (ours is 6.9% alc./vol.).

Medium Bodied Refreshing Ale
Light-medium malt character with a heavy dose of over the top hops! Two full weeks of ""dry hopping"" give this beer its abundant hop aroma and crisp hop flavor."
832,919,Old Rasputin Russian Imperial Stout,3,43,American-Style Imperial Stout,9,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia's Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It's a rich, intense brew with big complex flavors and a warming finish."
833,604,Yeti Imperial Stout,3,43,American-Style Imperial Stout,9.5,"Traditionally, Imperial Stouts, the biggest and boldest of all stouts, were brewed with massive amounts of roasted malts and hops, resulting in a velvety smooth but robust beer characterized by high alcohol content and extremely high hop bitterness. Meeting the challenge of this aggressive, challenging beer style, Great Divide's Yeti Imperial Stout is an onslaught of the senses. An almost viscous, inky-black brew, Yeti opens with a massive, roasty, chocolate, coffee malt flavor that eventually gives way to rich toffee and burnt caramel notes. Packed with an enormous quantity of American hops, Yeti's hop profile reveals a slightly citrusy, piney, and wonderfully dry hoppy finish."
876,1307,Terrible,5,72,Other Belgian-Style Ales,10.5,"Topped by a sumptuous head of foam, La Terrible possesses a fruity aroma enriched with notes of roasted malt and Madeira. Its long lasting flavour is both elegant and full bodied.

La Terrible is a dark brown beer on lees and is part of a collection of exotic and refined Unibroue beers brewed using 100% natural raw materials. It may be drunk as an aperitif or as an after dinner digestive. It is equally a perfect accompaniment to the above-mentioned dishes or a pleasant alternative to coffee."
879,935,5 Barrel Pale Ale,1,1,Classic English-Style Pale Ale,5.300000191,"The distinctive hop character of our 5 Barrel Pale Ale is due to the extraction of essential oils from select hops. We treat 5 Barrel Pale Ale to an infusion of fresh whole hop flowers in the Hop Back and the Fermentor, as well as four hop additions during the kettle boil. We like how this gives the beer a fresh, lively flavor and aroma."
883,175,Blonde,5,72,Other Belgian-Style Ales,6,This authentic Abbey Ale is based on the recipe perfected centuries ago by the monks of Abbey Du Val-Dieu.
